Neighborhood,Latitude,Longitude
REPÚBLICA,-20.2699409,-40.2930344
GOIABEIRAS,-20.2706118,-40.3028593
CONQUISTA,-20.2752093,-40.3232699
NOVA PALESTINA,-20.2721397,-40.3268749
SÃO CRISTÓVÃO,-20.2915876,-40.3162247
TABUAZEIRO,-20.2944536,-40.3229385
MARUÍPE,-20.2963157,-40.3198376
GRANDE VITÓRIA,-20.2886158,-40.3408156
SÃO BENEDITO,-20.3025922,-40.3063056
ILHA DAS CAIEIRAS,-20.2780131,-40.3355152
JARDIM DA PENHA,-20.2843019,-40.2945253
SANTO ANDRÉ,-20.2788776,-40.3325777
SOLON BORGES,-20.2614253,-40.294912
BONFIM,-20.3001895,-40.3133996
MARIA ORTIZ,-20.2579835,-40.2979268
JABOUR,-20.2580737,-40.2925726
ANTÔNIO HONÓRIO,-20.262694,-40.2981413
RESISTÊNCIA,-20.2710424,-40.3186833
ILHA DE SANTA MARIA,-20.3144503,-40.3180567
JUCUTUQUARA,-20.3088457,-40.3193283
MÁRIO CYPRESTE,-20.3178139,-40.3579442
SANTO ANTÔNIO,-20.3080868,-40.3550045
BELA VISTA,-20.3050413,-40.3480895
PRAIA DO SUÁ,-20.3131036,-40.2994874
DA PENHA,-20.2985557,-40.3104326
ITARARÉ,-20.2960438,-40.3069624
ANDORINHAS,-20.2876457,-40.3057956
SÃO PEDRO,-20.2820175,-40.3368799
SÃO JOSÉ,-20.2828027,-40.3310381
REDENÇÃO,-20.2788486,-40.3282781
SANTOS DUMONT,-20.3015055,-40.3170554
CARATOÍRA,-20.3154701,-40.3534172
ARIOVALDO FAVALESSA,-20.3142531,-40.3564749
UNIVERSITÁRIO,-20.295009,-40.3406008
SANTA MARTHA,-20.288527,-40.309795
JOANA D´ARC,-20.2842568,-40.31718
CONSOLAÇÃO,-20.306255,-40.312335
JARDIM CAMBURI,-20.2599804,-40.267894
BOA VISTA,-20.2717123,-40.2996541
MORADA DE CAMBURI,-20.2712388,-40.2966929
CENTRO,-20.3218646,-40.3393833
PARQUE MOSCOSO,-20.3199474,-40.3427114
SANTA CLARA,-20.3184344,-40.3449248
DO MOSCOSO,-20.3156022,-40.3431492
SANTA LUÍZA,-20.2913934,-40.3027037
PRAIA DO CANTO,-20.298286,-40.2946647
SANTA LÚCIA,-20.3028247,-40.3006106
BARRO VERMELHO,-20.295109,-40.2975362
BENTO FERREIRA,-20.3153408,-40.3069497
ESTRELINHA,-20.2938737,-40.347269
FORTE SÃO JOÃO,-20.3181834,-40.3245604
FONTE GRANDE,-20.3134941,-40.3369851
ENSEADA DO SUÁ,-20.3133066,-40.2922293
SANTOS REIS,-20.2833869,-40.3339751
PIEDADE,-20.3147917,-40.3404616
JESUS DE NAZARETH,-20.3174441,-40.3023787
SANTA TEREZA,-20.3106023,-40.3486418
GURIGICA,-20.3059436,-40.3056724
CRUZAMENTO,-20.3109726,-40.322451
ILHA DO PRÍNCIPE,-20.3231312,-40.3508253
COMDUSA,-20.2866831,-40.3344263
MATA DA PRAIA,-20.2760095,-40.2939889
SANTA CECÍLIA,-20.3026548,-40.3205618
DE LOURDES,-20.5164231,-29.3081688
MONTE BELO,-20.3141077,-40.3137115
VILA RUBIM,-20.3194406,-40.3469311
DO QUADRO,-20.312183,-40.3335763
ROMÃO,-20.3123469,-40.3254068
INHANGUETÁ,-20.2983262,-40.3484165
DO CABRAL,-20.3164057,-40.3489245
ILHA DO BOI,-20.3105442,-40.2807253
HORTO,-20.3093641,-40.3105218
NAZARETH,-20.3102896,-40.3161097
SANTA HELENA,-20.3091792,-40.294467
FRADINHOS,-20.3071309,-40.3269799
SEGURANÇA DO LAR,-20.2631167,-40.2963604
PONTAL DE CAMBURI,-20.2893289,-40.2967992
ILHA DO FRADE,-20.3018287,-40.2827175
AEROPORTO,-20.2572651,-40.2820934
ILHAS OCEÂNICAS DE TRINDADE,,
